bizesNm,indsLclsNm,indsMclsNm,adongNm,sigunguNm,sigunguDetailNm,rdnAdr
담뿍도시락,음식,한식,완도읍,전라남도,완도군,전라남도 완도군 완도읍 장보고대로248번길 16
시원이네반찬,음식,한식,문수동,전라남도,여수시,전라남도 여수시 문수7길 32
빽다방,음식,비알코올 ,장성읍,전라남도,장성군,전라남도 장성군 장성읍 영천로 167-2
칙칙폭폭협동조합,소매,의약·화장품 소매,곡성읍,전라남도,곡성군,전라남도 곡성군 곡성읍 곡성로 856
델리킹,음식,한식,쌍봉동,전라남도,여수시,전라남도 여수시 소호로 295
하로니,과학·기술,광고,빛가람동,전라남도,나주시,전라남도 나주시 교육길 13
일로포차,음식,한식,완도읍,전라남도,완도군,전라남도 완도군 완도읍 개포로114번길 43-10
보윤산업개발,소매,가전·통신 소매,중앙동,전라남도,여수시,전라남도 여수시 이순신광장로 135
엠브이피주니어골프아카데미,예술·스포츠,스포츠 서비스,빛가람동,전라남도,나주시,전라남도 나주시 빛가람로 747
진도으뜸농장,교육,교육 지원,임회면,전라남도,진도군,전라남도 진도군 임회면 송월길 20-27
구례문한옥게스트하우스,숙박,기타 숙박,광의면,전라남도,구례군,전라남도 구례군 광의면 은행정1길 27-5
골드본,숙박,일반 숙박,군내면,전라남도,진도군,전라남도 진도군 군내면 간석금길 16
송광주유소,소매,연료 소매,송광면,전라남도,순천시,전라남도 순천시 송광면 쌍향수길 1330
사이,음식,한식,삼향읍,전라남도,무안군,전라남도 무안군 삼향읍 대죽서로15번길 16
