bizesNm,indsLclsNm,indsMclsNm,adongNm,sigunguNm,sigunguDetailNm,rdnAdr
골드,수리·개인,욕탕·신체관리,금호2동,광주광역시,서구,광주광역시 서구 풍금로151번길 8
톡톡블럭,소매,오락용품 소매,양산동,광주광역시,북구,광주광역시 북구 연양로67번길 16
하이퐁샵,수리·개인,이용·미용,월곡1동,광주광역시,광산구,광주광역시 광산구 월곡로 15
은우산업,시설관리·임대,고용 알선,농성2동,광주광역시,서구,광주광역시 서구 화정로279번길 20-1
오늘도삼겹살,음식,주점,도산동,광주광역시,광산구,광주광역시 광산구 송도로182번길 55
에스헤어,수리·개인,이용·미용,풍암동,광주광역시,서구,광주광역시 서구 풍암1로21번길 7
청호나이스정수기,시설관리·임대,가정용품 대여,첨단2동,광주광역시,광산구,광주광역시 광산구 첨단내촌로70번길 50-12
레전드히어로즈광주,예술·스포츠,스포츠 서비스,치평동,광주광역시,서구,광주광역시 서구 운천로 247
달뫼전망대,음식,비알코올 ,월산4동,광주광역시,남구,광주광역시 남구 수박등로 53
툰박스,음식,기타 간이,하남동,광주광역시,광산구,광주광역시 광산구 용아로379번길 39
세라네일,수리·개인,이용·미용,지산2동,광주광역시,동구,광주광역시 동구 준법로 1
요리주점,음식,주점,운남동,광주광역시,광산구,광주광역시 광산구 목련로153번안길 24
치킨아이,음식,기타 간이,우산동,광주광역시,광산구,광주광역시 광산구 우산로 55-2
미풍해장국,음식,한식,봉선1동,광주광역시,남구,광주광역시 남구 대남대로 135
김쏘뷰티,수리·개인,이용·미용,상무2동,광주광역시,서구,광주광역시 서구 쌍촌로65번길 26
영암부동산중개,부동산,부동산 서비스,지산1동,광주광역시,동구,광주광역시 동구 지산로 29
미소호프,음식,주점,도산동,광주광역시,광산구,광주광역시 광산구 남동길48번길 32
한라맥주,음식,주점,상무1동,광주광역시,서구,광주광역시 서구 상무민주로76번길 22
딱좋은푸드,음식,한식,서창동,광주광역시,서구,광주광역시 서구 월암신기길 188-3
아콘,시설관리·임대,기타 사업 서비스,충장동,광주광역시,동구,광주광역시 동구 중앙로 214
이데아건축사사무소,과학·기술,기술 서비스,치평동,광주광역시,서구,광주광역시 서구 치평로 116
엔에스컴퍼니,소매,오락용품 소매,동림동,광주광역시,북구,광주광역시 북구 북문대로 235
대운투자개발,부동산,부동산 서비스,금호1동,광주광역시,서구,광주광역시 서구 금부로 74
아침에식빵,음식,기타 간이,첨단2동,광주광역시,광산구,광주광역시 광산구 첨단내촌로 102
이끌림,숙박,일반 숙박,신안동,광주광역시,북구,광주광역시 북구 자미로6번길 7
샛거리이야기,음식,한식,삼각동,광주광역시,북구,광주광역시 북구 설죽로471번길 82-5
휘슬러광주,소매,기타 생활용품 소매,봉선1동,광주광역시,남구,광주광역시 남구 봉선1로 46-1
포인트+부동산중개사무소,부동산,부동산 서비스,중흥동,광주광역시,북구,광주광역시 북구 서양로93번길 63
왕골남서문,음식,한식,용봉동,광주광역시,북구,광주광역시 북구 청계로 80
파크랜드오스틴리드,소매,섬유·의복·신발 소매,하남동,광주광역시,광산구,광주광역시 광산구 용아로 390
