bizesNm,indsLclsNm,indsMclsNm,sigunguNm,sigunguDetailNm,adongNm,rdnAdr,indsSclsNm,ctprvnNm,signguNm
일등부동산합동공인중개사사무소,부동산,부동산 서비스,경기도,수원시 장안구,파장동,경기도 수원시 장안구 경수대로 1083,미제공,미제공,미제공
쇼킹노래빠,음식,주점,경기도,수원시 장안구,정자1동,경기도 수원시 장안구 파장로 69,미제공,미제공,미제공
파리바게뜨,음식,기타 간이,경기도,수원시 권선구,세류3동,경기도 수원시 권선구 세지로 61,미제공,미제공,미제공
정떡,음식,기타 간이,경기도,수원시 영통구,매탄4동,경기도 수원시 영통구 매탄로204번길 31,미제공,미제공,미제공
아프로pc,예술·스포츠,유원지·오락,경기도,수원시 권선구,세류2동,경기도 수원시 권선구 정조로 520,미제공,미제공,미제공
은미정,음식,한식,경기도,수원시 권선구,권선1동,경기도 수원시 권선구 권광로 94,미제공,미제공,미제공
삼일칠영어,교육,일반 교육,경기도,수원시 영통구,원천동,경기도 수원시 영통구 월드컵로151번길 36,미제공,미제공,미제공
에프씨엔애드동주,수리·개인,기타 가정용품 수리,경기도,수원시 팔달구,인계동,경기도 수원시 팔달구 효원로 257,미제공,미제공,미제공
드림빌뮤직아카데미,교육,기타 교육,경기도,수원시 팔달구,행궁동,경기도 수원시 팔달구 정조로 769,미제공,미제공,미제공
케이앤컴퍼니,소매,가구 소매,경기도,수원시 장안구,파장동,경기도 수원시 장안구 이목로5번길 20,미제공,미제공,미제공
퓨전요리식도락,음식,기타 간이,경기도,수원시 장안구,조원1동,경기도 수원시 장안구 조원로 100-1,미제공,미제공,미제공
와르바시,과학·기술,본사·경영 컨설팅,경기도,수원시 권선구,세류1동,경기도 수원시 권선구 세권로20번길 8-9,미제공,미제공,미제공
엘지이용원,수리·개인,이용·미용,경기도,수원시 장안구,파장동,경기도 수원시 장안구 파장로68번길 46,미제공,미제공,미제공
BYC총판,소매,섬유·의복·신발 소매,경기도,수원시 팔달구,매산동,경기도 수원시 팔달구 매산로20번길 3,미제공,미제공,미제공
Nail맑음,수리·개인,이용·미용,경기도,수원시 장안구,정자1동,경기도 수원시 장안구 장안로217번길 14,미제공,미제공,미제공
공리,음식,중식,경기도,수원시 팔달구,인계동,경기도 수원시 팔달구 권광로285번길 7,미제공,미제공,미제공
디오인터내셔널,예술·스포츠,도서관·사적지,경기도,수원시 팔달구,우만1동,경기도 수원시 팔달구 월드컵로 331,미제공,미제공,미제공
윤광택,수리·개인,자동차 수리·세차,경기도,수원시 장안구,정자1동,경기도 수원시 장안구 정자로 73,미제공,미제공,미제공
바이두행정사사무소,과학·기술,법무관련 ,경기도,수원시 팔달구,매교동,경기도 수원시 팔달구 매산로 131,미제공,미제공,미제공
광교회집,음식,한식,경기도,수원시 장안구,연무동,경기도 수원시 장안구 창훈로 70-3,미제공,미제공,미제공
에이치엠에스,과학·기술,광고,경기도,수원시 영통구,원천동,경기도 수원시 영통구 신원로250번길 13,미제공,미제공,미제공
카인드짐24시스쿼시매교역점,예술·스포츠,스포츠 서비스,경기도,수원시 팔달구,매교동,경기도 수원시 팔달구 정조로 667,미제공,미제공,미제공
더블유짐율전1,예술·스포츠,스포츠 서비스,경기도,수원시 장안구,율천동,경기도 수원시 장안구 서부로2105번길 13,미제공,미제공,미제공
병묵디자인,과학·기술,전문 디자인,경기도,수원시 영통구,광교1동,경기도 수원시 영통구 창룡대로256번길 50,미제공,미제공,미제공
팡팡열쇠,소매,철물·건설자재 소매,경기도,수원시 장안구,율천동,경기도 수원시 장안구 덕영대로425번길 41,미제공,미제공,미제공
화서점현대자동차,수리·개인,자동차 수리·세차,경기도,수원시 팔달구,화서1동,경기도 수원시 팔달구 팔달로 151,미제공,미제공,미제공
한양순대,음식,한식,경기도,수원시 권선구,금곡동,경기도 수원시 권선구 매곡로 36-14,미제공,미제공,미제공
맨즈커트클럽,수리·개인,이용·미용,경기도,수원시 팔달구,매교동,경기도 수원시 팔달구 매산로 93-8,미제공,미제공,미제공
건강해GYM디지털엠파이어,예술·스포츠,스포츠 서비스,경기도,수원시 영통구,영통2동,경기도 수원시 영통구 덕영대로1556번길 16,미제공,미제공,미제공
마담마담,음식,기타 간이,경기도,수원시 팔달구,행궁동,경기도 수원시 팔달구 화서문로 27,미제공,미제공,미제공
모바일마트,소매,가전·통신 소매,경기도,수원시 권선구,세류3동,경기도 수원시 권선구 정조로 564,미제공,미제공,미제공
와이키즈광교센터학원,교육,일반 교육,경기도,수원시 영통구,광교1동,경기도 수원시 영통구 에듀타운로 102,미제공,미제공,미제공
히말라야갤러리,교육,기타 교육,경기도,수원시 장안구,파장동,경기도 수원시 장안구 경수대로1020번길 7,미제공,미제공,미제공
엘슈가링왁싱,수리·개인,이용·미용,경기도,수원시 팔달구,인계동,경기도 수원시 팔달구 권광로196번길 24,미제공,미제공,미제공
테라스,소매,섬유·의복·신발 소매,경기도,수원시 팔달구,행궁동,경기도 수원시 팔달구 중부대로7번길 6,미제공,미제공,미제공
베이크테이크,음식,기타 간이,경기도,수원시 권선구,구운동,경기도 수원시 권선구 구운로27번길 1,미제공,미제공,미제공
굿모닝공인중개사사무소,부동산,부동산 서비스,경기도,수원시 권선구,곡선동,경기도 수원시 권선구 세권로316번길 15,미제공,미제공,미제공
대한민국세탁1번가,수리·개인,세탁,경기도,수원시 영통구,영통3동,경기도 수원시 영통구 매영로 368,미제공,미제공,미제공
카페셀,음식,비알코올 ,경기도,수원시 장안구,율천동,경기도 수원시 장안구 덕영대로381번길 19-22,미제공,미제공,미제공
엘리트윤희경공인중개사사무소,부동산,부동산 서비스,경기도,수원시 장안구,파장동,경기도 수원시 장안구 파장천로58번길 75,미제공,미제공,미제공
모인,음식,비알코올 ,경기도,수원시 팔달구,행궁동,경기도 수원시 팔달구 정조로 836,미제공,미제공,미제공
리아본,교육,기타 교육,경기도,수원시 장안구,조원1동,경기도 수원시 장안구 송정로 190,미제공,미제공,미제공
대박고깃집,음식,한식,경기도,수원시 장안구,정자2동,경기도 수원시 장안구 수성로 299,미제공,미제공,미제공
송자네순대국,음식,한식,경기도,수원시 장안구,영화동,경기도 수원시 장안구 영화로26번길 18,미제공,미제공,미제공
손가락발가락,수리·개인,이용·미용,경기도,수원시 팔달구,행궁동,경기도 수원시 팔달구 정조로777번길 4,미제공,미제공,미제공
JAJU(자,소매,기타 생활용품 소매,경기도,수원시 권선구,권선2동,경기도 수원시 권선구 경수대로 270,미제공,미제공,미제공
인영문화사,시설관리·임대,기타 사업 서비스,경기도,수원시 팔달구,매산동,경기도 수원시 팔달구 향교로 86,미제공,미제공,미제공
더골드,소매,시계·귀금속 소매,경기도,수원시 팔달구,우만1동,경기도 수원시 팔달구 팔달문로163번길 46,미제공,미제공,미제공
풀데이즈공일이오,과학·기술,전문 디자인,경기도,수원시 팔달구,지동,경기도 수원시 팔달구 수원천로258번길 10-1,미제공,미제공,미제공
세티셀,과학·기술,본사·경영 컨설팅,경기도,수원시 영통구,원천동,경기도 수원시 영통구 신원로250번길 53,미제공,미제공,미제공
결혼그리고여행,시설관리·임대,여행사·보조,경기도,수원시 권선구,세류1동,경기도 수원시 권선구 효원로 90,미제공,미제공,미제공
오른세무회계,과학·기술,회계·세무,경기도,수원시 영통구,광교2동,경기도 수원시 영통구 광교중앙로248번길 7-2,미제공,미제공,미제공
으뜸공인중개사사무소,부동산,부동산 서비스,경기도,수원시 권선구,권선1동,경기도 수원시 권선구 세지로82번길 53,미제공,미제공,미제공
로즈마리,소매,섬유·의복·신발 소매,경기도,수원시 영통구,원천동,경기도 수원시 영통구 월드컵로97번길 53-2,미제공,미제공,미제공
에이치투케이아트,과학·기술,인쇄·제품제작,경기도,수원시 영통구,원천동,경기도 수원시 영통구 매영로159번길 19,미제공,미제공,미제공
노송카프라자,수리·개인,자동차 수리·세차,경기도,수원시 장안구,파장동,경기도 수원시 장안구 장안로 320,미제공,미제공,미제공
엠유스포츠골프AK플라자,소매,섬유·의복·신발 소매,경기도,수원시 팔달구,매산동,경기도 수원시 팔달구 덕영대로 924,미제공,미제공,미제공
지수학교습소,교육,일반 교육,경기도,수원시 권선구,평동,경기도 수원시 권선구 매송고색로506번길 17,미제공,미제공,미제공
서울24시감자탕,음식,한식,경기도,수원시 팔달구,화서2동,경기도 수원시 팔달구 수성로157번길 17,미제공,미제공,미제공
더합동공인중개사사무소,부동산,부동산 서비스,경기도,수원시 영통구,매탄3동,경기도 수원시 영통구 신원로 259-2,미제공,미제공,미제공
아모레외판원,소매,의약·화장품 소매,경기도,수원시 팔달구,우만2동,경기도 수원시 팔달구 중부대로223번길 4,미제공,미제공,미제공
망포우리약국,소매,의약·화장품 소매,경기도,수원시 영통구,망포2동,경기도 수원시 영통구 덕영대로 1478,미제공,미제공,미제공
친절카서비스,수리·개인,자동차 수리·세차,경기도,수원시 영통구,매탄1동,경기도 수원시 영통구 동수원로 495,미제공,미제공,미제공
깔끔이세탁,수리·개인,세탁,경기도,수원시 권선구,세류3동,경기도 수원시 권선구 권선로537번길 26-12,미제공,미제공,미제공
광교서울한의원,보건의료,의원,경기도,수원시 영통구,광교1동,경기도 수원시 영통구 도청로89번길 23,미제공,미제공,미제공
준멀티샵,소매,자동차 부품 소매,경기도,수원시 영통구,영통2동,경기도 수원시 영통구 권선로908번길 7,미제공,미제공,미제공
새천년에너지,소매,철물·건설자재 소매,경기도,수원시 장안구,조원1동,경기도 수원시 장안구 송정로 181,미제공,미제공,미제공
참맛고을,음식,한식,경기도,수원시 장안구,파장동,경기도 수원시 장안구 파장천로119번길 47,미제공,미제공,미제공
소망공인중개사사무소,부동산,부동산 서비스,경기도,수원시 영통구,망포2동,경기도 수원시 영통구 태장로54번길 92,미제공,미제공,미제공
탑그룹조합개발,부동산,부동산 서비스,경기도,수원시 권선구,권선1동,경기도 수원시 권선구 효원로 230,미제공,미제공,미제공
다봄헤어,수리·개인,이용·미용,경기도,수원시 팔달구,매교동,경기도 수원시 팔달구 인계로 20,미제공,미제공,미제공
제이투피테크,소매,중고 상품 소매,경기도,수원시 팔달구,우만1동,경기도 수원시 팔달구 월드컵로345번길 2,미제공,미제공,미제공
윤돈,음식,일식,경기도,수원시 영통구,영통2동,경기도 수원시 영통구 신원로 107,미제공,미제공,미제공
진주아씨,음식,기타 간이,경기도,수원시 팔달구,인계동,경기도 수원시 팔달구 권광로188번길 35-2,미제공,미제공,미제공
신화주,시설관리·임대,시설관리,경기도,수원시 팔달구,행궁동,경기도 수원시 팔달구 정조로 781,미제공,미제공,미제공
크린토피아수원망포센트럴하이츠점,수리·개인,세탁,경기도,수원시 영통구,망포1동,경기도 수원시 영통구 영통로154번길 51-16,미제공,미제공,미제공
가나종합인테리어,과학·기술,전문 디자인,경기도,수원시 권선구,서둔동,경기도 수원시 권선구 세화로168번길 6,미제공,미제공,미제공
구이킹&밥상,음식,한식,경기도,수원시 팔달구,우만1동,경기도 수원시 팔달구 창룡대로150번길 71,미제공,미제공,미제공
삼성물산롯데몰,소매,섬유·의복·신발 소매,경기도,수원시 권선구,서둔동,경기도 수원시 권선구 세화로 134,미제공,미제공,미제공
카피랜드,소매,안경·정밀기기 소매,경기도,수원시 영통구,매탄2동,경기도 수원시 영통구 매영로 85,미제공,미제공,미제공
신동곱창,음식,한식,경기도,수원시 영통구,영통2동,경기도 수원시 영통구 권선로908번길 52-20,미제공,미제공,미제공
간코AK백화점,음식,일식,경기도,수원시 팔달구,매산동,경기도 수원시 팔달구 덕영대로 924,미제공,미제공,미제공
광교윌내과의원,보건의료,의원,경기도,수원시 영통구,광교1동,경기도 수원시 영통구 도청로89번길 30,미제공,미제공,미제공
트라이스타벤처스,과학·기술,기타 전문 과학,경기도,수원시 영통구,영통3동,경기도 수원시 영통구 청명로21번길 19,미제공,미제공,미제공
본맛송탄부대찌개,음식,한식,경기도,수원시 장안구,송죽동,경기도 수원시 장안구 송원로 39,미제공,미제공,미제공
역전이화약국,소매,의약·화장품 소매,경기도,수원시 권선구,세류1동,경기도 수원시 권선구 권선로509번길 2,미제공,미제공,미제공
아카데미사진관,과학·기술,사진 촬영,경기도,수원시 장안구,정자3동,경기도 수원시 장안구 대평로 80,미제공,미제공,미제공
e-편한한울공인중개사사무소,부동산,부동산 서비스,경기도,수원시 권선구,권선2동,경기도 수원시 권선구 권광로 56,미제공,미제공,미제공
롯데슈퍼탑동3점,소매,종합 소매,경기도,수원시 권선구,서둔동,경기도 수원시 권선구 서둔로 213,미제공,미제공,미제공
문화미용실,수리·개인,이용·미용,경기도,수원시 장안구,영화동,경기도 수원시 장안구 정조로934번길 29-18,미제공,미제공,미제공
